Statement,Label,cleaned_text
We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,True,built new prison everi day keep mass incarcer explos nonviol offend
"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",False,sen mccain tax plan provid virtual noth middl class
Austin is burdened by the fastest-growing tax increases of any major city in the nation.,False,austin burden fastestgrow tax increas major citi nation
"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",False,phoenix arizona kidnap capit world
I belong to the AFL-CIO.,True,belong aflcio
The insurance commissioner cant do squat about health care.,True,insur commission cant squat health care
Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,True,say poll found republican candid could beat barack obama texa eight point
"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",False,presid ronald reagan sent troop conflict one circumst grenada peacekeep set lebanon
Says David Jolly supports privatizing Social Security.,False,say david jolli support privat social secur
Did you know US population growth is at its lowest since the Great Depression?,True,know us popul growth lowest sinc great depress
"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",True,averag student florida actual pay pocket major univers tuition much less spend cellphon
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",True,sinc american die gunfir die war countri histori
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,True,foreclosur tax would take effect could mean high tax bill face foreclosur million famili modifi mortgag short sale lender
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,False,florida depart agricultur websit freshfromfloridacom use get permit carri load hidden gun without ever leav hous
"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",False,atlanta streetcar expect creat job construct total job next year
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",True,rais minimum wage hour would help lift million american poverti
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",True,say secretari state john kerri senat flew managua met communist dictat daniel ortega accus reagan administr engag terror
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",False,nato open major terror divis im sure im go get credit larg say critic nato
Sen. Obama has always had a 100 percent prochoice rating.,True,sen obama alway percent prochoic rate
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",True,sinc gina raimondo took offic invest fee state pension portfolio gone million annual million
The (federal) debt is growing by more than $4 billion a day.,True,feder debt grow billion day
"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",True,presid barack obama job bill state would longer lay teacher firefight polic offic
"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",False,teacher k teacher today year old
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,True,twothird wisconsinit receiv unemploy check requir search work due current work search exempt
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",True,presid obama healthcar reform premium averag plan famili didnt go per year gone per year
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",True,ir also investig liber group group progress name ir basic look everybodi
Says Obama promised unemployment would never go above 8 percent.,False,say obama promis unemploy would never go percent
The economy is creating jobs at the fastest pace since 1999.,True,economi creat job fastest pace sinc
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,True,presid obama decid meet prime minist benjamin netanyahu new york
"In a majority of states, you can now marry freely, but can still be fired for who you love.",True,major state marri freeli still fire love
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,False,say oregon rep peter defazio earl blumenau socialist openli serv us congress
"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",False,rudi giuliani probabl underqualifi man sinc georg bush seek presid
"About half of the presidents have been governors; half of them, senators.",False,half presid governor half senat
"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",True,britain vote leav european union within hour american lost billion ks
"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",True,medicaid spend declin percent second declin year
Says 88 Texas constables have died in the line of duty.,True,say texa constabl die line duti
"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",True,gov rick scott cut cost prepaid colleg tuition nearli
"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",True,citi columbu would save million year employe contribut guaranteedcheck pension
"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",True,florida cfo shut krakow scam refund million josephin victim con man
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,True,women get comput scienc degre factor plu
The Air Force wants taxpayers to fund a fantasy football league.,False,air forc want taxpay fund fantasi footbal leagu
Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,False,barack hussein obama forc court accept islam sharia law domest disput
About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,True,percent murder crime commit gun peopl actual legal purchas gun
Some neighborhood schools are closing.,True,neighborhood school close
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,True,told gay organ massachusett would stronger advoc special right even ted kennedi
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",True,year speaker florida hous consist offer leaner budget governor offer
"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",False,alreadi almost halfway goal creat new job seven year
Says the U.S. Supreme Court found that Social Security is not guaranteed.,True,say us suprem court found social secur guarante
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,False,saysmichael bennet want close guantanamo bay prisonand bring terrorist right colorado
Oregonians have an amazing no-cost way to fight abortion with free political donations,True,oregonian amaz nocost way fight abort free polit donat
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",False,presid said he go bring syrian iraqi refuge countri
"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",False,research show vast major arriv immigr today come believ govern sourc prosper that support
Newt Gingrichs immigration plan offers a new doorway to amnesty.,True,newt gingrich immigr plan offer new doorway amnesti
Mr. Caprio is a career politician who has never worked in the private sector.,False,mr caprio career politician never work privat sector
"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",False,rhode island percent worker use state temporari disabl insur program year new jersey rate percent
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",True,year spend social secur feder health care interest debt exceed tax revenu
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,True,presid obama took money wall street campaign anybodi ever
Donald Trump has said nuclear proliferation is OK.,True,donald trump said nuclear prolifer ok
"Hillary Clinton has taken over $800,000 from lobbyists.",True,hillari clinton taken lobbyist
Barack Obama has never even worked in business.,False,barack obama never even work busi
Says the Arizona immigration law expressly bans racial profiling.,True,say arizona immigr law expressli ban racial profil
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,False,say gov rick perri beg feder govern send coast guard patrol two lake usmexico border
"On the VA: Over 300,000 veterans have died waiting for care.",False,va veteran die wait care
Were now spending 42 percent of our economy on government.,True,spend percent economi govern
Rob Cornilles supports privatizing Medicare.,False,rob cornil support privat medicar
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",False,dan branch tri expand thirdtrimest abort texa
We (Democrats) have made steady progress creating jobs and improving our schools.,True,democrat made steadi progress creat job improv school
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,False,michigan massachusett rais bottl deposit could longer afford program redempt high profit
"Whether you like to admit it or not, half our general revenue goes to education.",True,whether like admit half gener revenu goe educ
Im the only one whos fought against developers draining the Everglades!,False,im one who fought develop drain everglad
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,True,say ron johnson call social secur ponzi scheme want privat program
"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",True,state citi type polici pass refer north carolina hous bill
Climate change is directly related to the growth of terrorism.,False,climat chang directli relat growth terror
The jobs bill includes President Obamas tax on soup kitchens,False,job bill includ presid obama tax soup kitchen
Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,False,say obama administr spent taxpay dollar electr car finland windmil china
While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,True,sarah mayor wasilla tri fire highli respect citi librarian librarian refus consid remov librari book sarah want remov
"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",True,milwauke approv reduc maximum forfeitur marijuana possess citi would differ bicycl violat higher forfeitur
We have more illegal immigrants here than we did five years ago.,False,illeg immigr five year ago
Says Rick Perry wrote a letter supporting Hillarycare.,False,say rick perri wrote letter support hillarycar
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,False,us patent trademark offic receiv zero complaint washington redskin name
"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",False,presid health care propos caus american premium increas decreas hundr million peopl lose current insur coverag
(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,True,mexican immigr lawabid us citizen statist
Says Chris Christie vetoed a jobs package of 30 bills.,True,say chri christi veto job packag bill
There are already more American jobs in the solar industry than in coal mining.,True,alreadi american job solar industri coal mine
Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,True,say illinoi gubernatori candid bill bradi first prioriti win primari sponsor bill would masseuthan shelter dog cat ga chamber
Barack Obama is in an economy thats only worsened since hes been president of the United States.,True,barack obama economi that worsen sinc he presid unit state
"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",True,romney fail take action sanctuari citi massachusett
"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",True,say new jersey nearli job prerecess peak gov chri christi new jersey trail rest america come unemploy consecut month
Says Thomas Eric Duncan came into the United States with an elevated temperature.,False,say thoma eric duncan came unit state elev temperatur
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,True,afghanistan longer foreign land conduct war nation histori
Gas prices have gone up $2 since Obama took office.,True,ga price gone sinc obama took offic
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,True,webster sponsor bill creat form marriag would trap women abus relationship
Says judges get better benefits at a lower cost than everybody else in the state.,True,say judg get better benefit lower cost everybodi els state
There are a lot of casinos across the country that have gone bankrupt.,True,lot casino across countri gone bankrupt
Small businesses create 70 percent of the jobs in America.,True,small busi creat percent job america
"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",True,senior coverag medicar advantag give share health care reform
"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",True,school kid arrest florida make florida nation leader area
If Texas were a country our economy would rank # 10...in the WORLD.,True,texa countri economi would rank world
There are more oil rigs in operation in the United States than the rest of the world combined.,False,oil rig oper unit state rest world combin
"Payday lenders profit from the poor by charging 1,000-plus percent interest.",True,payday lender profit poor charg plu percent interest
"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",True,social secur trust fund sound without anyth done would function well even time chang could pay percent benefit peopl earn
It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,True,commit voter take serious incumb ohio break pledg vote ted strickland incom tax hike defeat soundli tuesday
The Obama administration shut down the Amber Alert program because of the government shutdown.,False,obama administr shut amber alert program govern shutdown
The Republicans have 2 percent of the Muslim vote.,True,republican percent muslim vote
"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",True,see america prison popul explod america greater percentag peopl behind bar nation world
"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",False,say hear rep gabriel gifford suggest gen david petraeu armi put emphasi less environment damag method like stab club enemi forc order minim carbon output
"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",True,everi singl one republican senat block rais minimum wage receiv costofliv adjust januari
"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",True,texa name new male babi mani vote one day jose
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,True,marco rubio vote author presid obama strike syria assad use chemic weapon peopl
"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",False,cash clunker program weve got go local junkyard youv got tow hous your go get
Not one Republican has the guts to recognize that climate change is real.,False,one republican gut recogn climat chang real
"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",True,peopl work longer hour lower wage almost new incom goe top percent
David Dewhurst has a record of promoting an income tax.,False,david dewhurst record promot incom tax
Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,True,point pleasant beach beach privat own oper busi jenkinson
"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",False,past year percent american chang mind war afghanistan conclud shouldnt
"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",False,last five year peopl kill along usmexico border
The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,False,state ohio one lowest unemploy rate nation right lead pack term job creation
Says Obama health reform law denies millions access to affordable insurance.,False,say obama health reform law deni million access afford insur
Says HB2 hasnt moved the needle one iota on North Carolinas economy.,False,say hb hasnt move needl one iota north carolina economi
Close to 30% of our federal prison population consists of illegal immigrants.,False,close feder prison popul consist illeg immigr
Says Rick Scott called education not a core function of the state.,False,say rick scott call educ core function state
"The Family Research Council, according to some government agencies, is a terrorist group.",False,famili research council accord govern agenc terrorist group
"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",True,say rep jim weidner propos bill take away health care oregon children
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,True,say elect former gov tom kean largest win margin gubernatori candid jersey histori
Obamacare is the biggest tax increase in American history.,False,obamacar biggest tax increas american histori
You ... said that Barack Obama was not ready to be commander in chief.,True,said barack obama readi command chief
"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",True,median male worker countri seen rais inflat adjust year basic
Milwaukee Mayor Tom Barrett has held the line on property taxes.,False,milwauke mayor tom barrett held line properti tax
Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,True,im member hous repres rais campaign fund last elect small contribut less
"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",True,unlik gridlock washington percent bill pass gener assembl bipartisan support
Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,False,josh mandel lie record rate ohio invest fund improv
"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",True,rick scott took famili leas land drill tri hide
On how money from a possible lease of the Ohio Turnpike would be used,True,money possibl leas ohio turnpik would use
"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.",True,begin last decad america budget surplu billion time took offic oneyear deficit trillion project deficit trillion next decad
"The president has had 1,540 of his nominations confirmed, only four defeated.",True,presid nomin confirm four defeat
U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,True,us taxpay forc fund feisal abdul rauf trip middl east
"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",False,milwauke counti taxpay paid settl lawsuit decis sheriff david clark jr use untrain correct offic rather deputi patrol lakefront
There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,True,justic depart polici fbi director jame comey discuss detail feder investig close elect
"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""",True,democrat presid consider effect creat privatesector job
"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",True,joe biden vote first gulf war oppos surg want partit iraq
Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,False,say rush limbaugh made clear hed rather see countri fail presid barack obama succeed
One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.,True,one percent american peopl make percent incom america wasnt way georg bush becam presid
"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",True,militari recruit went harvard everi singl day throughout time kagan
"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",True,say rick perri plan texa cut fund public school
"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",True,say david perdu want abolish us depart educ would cost georgia school billion year elimin million student loan
The Paul Ryan budget proposal would privatize Medicare.,True,paul ryan budget propos would privat medicar
High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,True,high school student arrest campu twice like graduat four time less like graduat theyv appear court
The United States imprisons more than any nation in the world.,True,unit state imprison nation world
Says Marco Rubio is the one for an open border.,False,say marco rubio one open border
